date,description,amount,category,vendor
2024-01-02,Office rent payment,-67335,Office & Rent,Office Landlord
2024-01-03,Influencer Agency campaign spend,-16338,Marketing & Ads,Influencer Agency
2024-01-04,HubSpot subscription,-3776,SaaS Tools,HubSpot
2024-01-07,B2C sales batch - Marketplace Channel,54453,Revenue - B2C,Marketplace Channel
2024-01-07,B2B subscription invoice - Enterprise Alpha,83278,Revenue - B2B,Enterprise Alpha
2024-01-08,B2C sales batch - Retail POS,17082,Revenue - B2C,Retail POS
2024-01-08,Slack subscription,-3263,SaaS Tools,Slack
2024-01-11,B2C sales batch - Online Storefront,53698,Revenue - B2C,Online Storefront
2024-01-11,Refund / credit to customer,-5611,Refunds / Credits,Enterprise Alpha
2024-01-11,Refund / credit to customer,-11654,Refunds / Credits,Marketplace Channel
2024-01-12,Hardware / equipment purchase,-89615,Hardware / CAPEX,Hardware Supplier
2024-01-15,B2B subscription invoice - Enterprise Alpha,168696,Revenue - B2B,Enterprise Alpha
2024-01-19,B2C sales batch - Online Storefront,57590,Revenue - B2C,Online Storefront
2024-01-20,B2B subscription invoice - GlobalGamma Ltd,112098,Revenue - B2B,GlobalGamma Ltd
2024-01-21,Monthly salaries & payroll,-259131,Salaries & Payroll,Payroll
2024-01-21,Monthly cloud hosting bill,-25231,Cloud Hosting,Azure
2024-01-21,B2C sales batch - Online Storefront,30247,Revenue - B2C,Online Storefront
2024-01-22,LinkedIn Ads campaign spend,-32541,Marketing & Ads,LinkedIn Ads
2024-01-23,B2C sales batch - Marketplace Channel,50713,Revenue - B2C,Marketplace Channel
2024-01-24,Refund / credit to customer,-2106,Refunds / Credits,Delta Solutions
2024-01-24,Operational expense - CateringCo,-22571,Logistics & Ops,CateringCo
2024-01-24,HubSpot subscription,-2337,SaaS Tools,HubSpot
2024-01-26,B2C sales batch - Online Storefront,51781,Revenue - B2C,Online Storefront
2024-01-29,B2B subscription invoice - Corp Beta,98289,Revenue - B2B,Corp Beta
2024-01-29,B2C sales batch - Online Storefront,21140,Revenue - B2C,Online Storefront
2024-01-30,Professional services - Hardware Supplier,-34213,Professional Services,Hardware Supplier
2024-02-01,B2C sales batch - Online Storefront,21619,Revenue - B2C,Online Storefront
2024-02-02,B2B subscription invoice - Corp Beta,172349,Revenue - B2B,Corp Beta
2024-02-06,B2B subscription invoice - GlobalGamma Ltd,155674,Revenue - B2B,GlobalGamma Ltd
2024-02-10,Mailchimp subscription,-4608,SaaS Tools,Mailchimp
2024-02-12,Operational expense - Cleaning Services,-11967,Logistics & Ops,Cleaning Services
2024-02-12,B2C sales batch - Retail POS,33217,Revenue - B2C,Retail POS
2024-02-12,Refund / credit to customer,-12980,Refunds / Credits,Marketplace Channel
2024-02-15,LinkedIn Ads campaign spend,-36290,Marketing & Ads,LinkedIn Ads
2024-02-15,Monthly salaries & payroll,-215093,Salaries & Payroll,Payroll
2024-02-16,Meta Ads campaign spend,-12103,Marketing & Ads,Meta Ads
2024-02-17,Notion subscription,-6490,SaaS Tools,Notion
2024-02-19,Office rent payment,-54337,Office & Rent,Office Landlord
2024-02-20,Professional services - Freelancer Dev,-32359,Professional Services,Freelancer Dev
2024-02-21,B2B subscription invoice - Corp Beta,117930,Revenue - B2B,Corp Beta
2024-02-22,B2C sales batch - Retail POS,25659,Revenue - B2C,Retail POS
2024-02-23,Professional services - Hardware Supplier,-45071,Professional Services,Hardware Supplier
2024-02-25,Monthly cloud hosting bill,-42997,Cloud Hosting,Azure
2024-02-26,B2C sales batch - Retail POS,56660,Revenue - B2C,Retail POS
2024-02-27,Slack subscription,-2838,SaaS Tools,Slack
2024-02-27,Slack subscription,-5875,SaaS Tools,Slack
2024-02-28,LinkedIn Ads campaign spend,-13665,Marketing & Ads,LinkedIn Ads
2024-02-28,B2B subscription invoice - Enterprise Alpha,86006,Revenue - B2B,Enterprise Alpha
2024-02-28,Meta Ads campaign spend,-54866,Marketing & Ads,Meta Ads
2024-02-29,Refund / credit to customer,-7820,Refunds / Credits,Retail POS
2024-03-02,Google Ads campaign spend,-57323,Marketing & Ads,Google Ads
2024-03-03,B2B subscription invoice - GlobalGamma Ltd,177912,Revenue - B2B,GlobalGamma Ltd
2024-03-04,B2C sales batch - Marketplace Channel,42666,Revenue - B2C,Marketplace Channel
2024-03-05,B2C sales batch - Retail POS,53242,Revenue - B2C,Retail POS
2024-03-07,B2C sales batch - Online Storefront,24065,Revenue - B2C,Online Storefront
2024-03-07,B2C sales batch - Online Storefront,25016,Revenue - B2C,Online Storefront
2024-03-07,Professional services - Hardware Supplier,-28035,Professional Services,Hardware Supplier
2024-03-09,B2C sales batch - Online Storefront,18087,Revenue - B2C,Online Storefront
2024-03-09,LinkedIn Ads campaign spend,-17310,Marketing & Ads,LinkedIn Ads
2024-03-12,Professional services - Freelancer Dev,-39504,Professional Services,Freelancer Dev
2024-03-14,HubSpot subscription,-6032,SaaS Tools,HubSpot
2024-03-15,Operational expense - Office Landlord,-25489,Logistics & Ops,Office Landlord
2024-03-18,Notion subscription,-7072,SaaS Tools,Notion
2024-03-18,B2C sales batch - Marketplace Channel,25484,Revenue - B2C,Marketplace Channel
2024-03-19,B2C sales batch - Retail POS,38723,Revenue - B2C,Retail POS
2024-03-20,Monthly salaries & payroll,-214522,Salaries & Payroll,Payroll
2024-03-21,Meta Ads campaign spend,-39735,Marketing & Ads,Meta Ads
2024-03-21,B2C sales batch - Marketplace Channel,47343,Revenue - B2C,Marketplace Channel
2024-03-25,Monthly cloud hosting bill,-32608,Cloud Hosting,GCP
2024-03-25,B2B subscription invoice - Corp Beta,177647,Revenue - B2B,Corp Beta
2024-03-26,Notion subscription,-7084,SaaS Tools,Notion
2024-03-26,LinkedIn Ads campaign spend,-38492,Marketing & Ads,LinkedIn Ads
2024-03-28,Office rent payment,-82806,Office & Rent,Office Landlord
2024-03-28,Hardware / equipment purchase,-123748,Hardware / CAPEX,Hardware Supplier
2024-03-28,Mailchimp subscription,-5834,SaaS Tools,Mailchimp
2024-03-29,Professional services - Freelancer Dev,-50348,Professional Services,Freelancer Dev
2024-04-02,Office rent payment,-88555,Office & Rent,Office Landlord
2024-04-02,Refund / credit to customer,-11007,Refunds / Credits,Retail POS
2024-04-03,B2B subscription invoice - Enterprise Alpha,94662,Revenue - B2B,Enterprise Alpha
2024-04-04,HubSpot subscription,-4768,SaaS Tools,HubSpot
2024-04-04,B2C sales batch - Marketplace Channel,20161,Revenue - B2C,Marketplace Channel
2024-04-04,Operational expense - Office Landlord,-28194,Logistics & Ops,Office Landlord
2024-04-04,B2C sales batch - Online Storefront,23414,Revenue - B2C,Online Storefront
2024-04-06,Refund / credit to customer,-11938,Refunds / Credits,Enterprise Alpha
2024-04-08,B2B subscription invoice - Enterprise Alpha,158504,Revenue - B2B,Enterprise Alpha
2024-04-08,B2C sales batch - Online Storefront,49911,Revenue - B2C,Online Storefront
2024-04-10,Slack subscription,-7340,SaaS Tools,Slack
2024-04-10,Operational expense - LogisticsCo,-24282,Logistics & Ops,LogisticsCo
2024-04-12,Monthly salaries & payroll,-182757,Salaries & Payroll,Payroll
2024-04-14,B2B subscription invoice - GlobalGamma Ltd,120306,Revenue - B2B,GlobalGamma Ltd
2024-04-14,Professional services - Freelancer Dev,-74337,Professional Services,Freelancer Dev
2024-04-15,B2B subscription invoice - GlobalGamma Ltd,144042,Revenue - B2B,GlobalGamma Ltd
2024-04-17,B2C sales batch - Online Storefront,30785,Revenue - B2C,Online Storefront
2024-04-18,Meta Ads campaign spend,-24725,Marketing & Ads,Meta Ads
2024-04-18,B2C sales batch - Online Storefront,46849,Revenue - B2C,Online Storefront
2024-04-22,HubSpot subscription,-5088,SaaS Tools,HubSpot
2024-04-22,Monthly cloud hosting bill,-26940,Cloud Hosting,Azure
2024-04-26,Google Ads campaign spend,-32156,Marketing & Ads,Google Ads
2024-04-29,Jira subscription,-5198,SaaS Tools,Jira
2024-04-30,Refund / credit to customer,-6342,Refunds / Credits,Corp Beta
2024-04-30,Operational expense - LogisticsCo,-5235,Logistics & Ops,LogisticsCo
2024-05-08,Refund / credit to customer,-8939,Refunds / Credits,Enterprise Alpha
2024-05-08,B2C sales batch - Online Storefront,52423,Revenue - B2C,Online Storefront
2024-05-09,Professional services - Hardware Supplier,-50427,Professional Services,Hardware Supplier
2024-05-13,Professional services - Freelancer Dev,-18315,Professional Services,Freelancer Dev
2024-05-13,Notion subscription,-1996,SaaS Tools,Notion
2024-05-14,B2C sales batch - Marketplace Channel,45976,Revenue - B2C,Marketplace Channel
2024-05-15,B2C sales batch - Online Storefront,50339,Revenue - B2C,Online Storefront
2024-05-15,HubSpot subscription,-8058,SaaS Tools,HubSpot
2024-05-16,B2B subscription invoice - Corp Beta,116500,Revenue - B2B,Corp Beta
2024-05-16,Monthly cloud hosting bill,-43890,Cloud Hosting,AWS
2024-05-18,Mailchimp subscription,-7465,SaaS Tools,Mailchimp
2024-05-21,Notion subscription,-3536,SaaS Tools,Notion
2024-05-21,Refund / credit to customer,-9651,Refunds / Credits,Delta Solutions
2024-05-23,B2C sales batch - Online Storefront,45996,Revenue - B2C,Online Storefront
2024-05-24,Meta Ads campaign spend,-45146,Marketing & Ads,Meta Ads
2024-05-25,B2C sales batch - Online Storefront,21352,Revenue - B2C,Online Storefront
2024-05-25,Influencer Agency campaign spend,-22025,Marketing & Ads,Influencer Agency
2024-05-26,Influencer Agency campaign spend,-19186,Marketing & Ads,Influencer Agency
2024-05-28,Operational expense - Office Landlord,-19520,Logistics & Ops,Office Landlord
2024-05-28,B2C sales batch - Retail POS,27478,Revenue - B2C,Retail POS
2024-05-28,Monthly salaries & payroll,-216509,Salaries & Payroll,Payroll
2024-05-28,Office rent payment,-80318,Office & Rent,Office Landlord
2024-05-29,Professional services - Freelancer Dev,-78504,Professional Services,Freelancer Dev
2024-05-30,B2C sales batch - Marketplace Channel,43249,Revenue - B2C,Marketplace Channel
2024-05-31,B2B subscription invoice - GlobalGamma Ltd,89287,Revenue - B2B,GlobalGamma Ltd
2024-06-01,B2C sales batch - Retail POS,51422,Revenue - B2C,Retail POS
2024-06-01,B2C sales batch - Online Storefront,41282,Revenue - B2C,Online Storefront
2024-06-01,Google Ads campaign spend,-48996,Marketing & Ads,Google Ads
2024-06-03,Google Ads campaign spend,-43281,Marketing & Ads,Google Ads
2024-06-03,Google Ads campaign spend,-22178,Marketing & Ads,Google Ads
2024-06-05,Office rent payment,-65414,Office & Rent,Office Landlord
2024-06-07,Operational expense - LogisticsCo,-23970,Logistics & Ops,LogisticsCo
2024-06-07,B2C sales batch - Retail POS,15141,Revenue - B2C,Retail POS
2024-06-08,Refund / credit to customer,-5111,Refunds / Credits,Marketplace Channel
2024-06-08,Mailchimp subscription,-5619,SaaS Tools,Mailchimp
2024-06-09,Professional services - Hardware Supplier,-53251,Professional Services,Hardware Supplier
2024-06-09,B2C sales batch - Retail POS,32380,Revenue - B2C,Retail POS
2024-06-10,Operational expense - Office Landlord,-23667,Logistics & Ops,Office Landlord
2024-06-11,Jira subscription,-1999,SaaS Tools,Jira
2024-06-12,B2C sales batch - Marketplace Channel,46894,Revenue - B2C,Marketplace Channel
2024-06-13,B2B subscription invoice - Delta Solutions,143653,Revenue - B2B,Delta Solutions
2024-06-15,B2B subscription invoice - Corp Beta,101798,Revenue - B2B,Corp Beta
2024-06-17,Notion subscription,-6285,SaaS Tools,Notion
2024-06-19,HubSpot subscription,-1968,SaaS Tools,HubSpot
2024-06-24,Monthly cloud hosting bill,-27133,Cloud Hosting,AWS
2024-06-24,B2C sales batch - Retail POS,33694,Revenue - B2C,Retail POS
2024-06-25,B2C sales batch - Online Storefront,25789,Revenue - B2C,Online Storefront
2024-06-26,Professional services - Freelancer Dev,-42474,Professional Services,Freelancer Dev
2024-06-27,Monthly salaries & payroll,-188907,Salaries & Payroll,Payroll
2024-06-28,Professional services - Hardware Supplier,-49261,Professional Services,Hardware Supplier
2024-07-01,Hardware / equipment purchase,-57601,Hardware / CAPEX,Hardware Supplier
2024-07-01,B2C sales batch - Retail POS,19754,Revenue - B2C,Retail POS
2024-07-02,B2C sales batch - Retail POS,44964,Revenue - B2C,Retail POS
2024-07-03,LinkedIn Ads campaign spend,-20338,Marketing & Ads,LinkedIn Ads
2024-07-03,Operational expense - Cleaning Services,-26737,Logistics & Ops,Cleaning Services
2024-07-03,Professional services - Freelancer Dev,-73308,Professional Services,Freelancer Dev
2024-07-05,Meta Ads campaign spend,-34217,Marketing & Ads,Meta Ads
2024-07-05,Professional services - Freelancer Dev,-63655,Professional Services,Freelancer Dev
2024-07-07,B2B subscription invoice - GlobalGamma Ltd,106772,Revenue - B2B,GlobalGamma Ltd
2024-07-08,Office rent payment,-85600,Office & Rent,Office Landlord
2024-07-08,B2B subscription invoice - GlobalGamma Ltd,131876,Revenue - B2B,GlobalGamma Ltd
2024-07-09,B2B subscription invoice - GlobalGamma Ltd,111285,Revenue - B2B,GlobalGamma Ltd
2024-07-12,Monthly salaries & payroll,-237433,Salaries & Payroll,Payroll
2024-07-12,B2C sales batch - Marketplace Channel,57303,Revenue - B2C,Marketplace Channel
2024-07-16,B2C sales batch - Online Storefront,45034,Revenue - B2C,Online Storefront
2024-07-22,Operational expense - Cleaning Services,-25043,Logistics & Ops,Cleaning Services
2024-07-23,Monthly cloud hosting bill,-22400,Cloud Hosting,Azure
2024-07-23,B2C sales batch - Marketplace Channel,51896,Revenue - B2C,Marketplace Channel
2024-07-24,Slack subscription,-4359,SaaS Tools,Slack
2024-07-27,Operational expense - Office Landlord,-26884,Logistics & Ops,Office Landlord
2024-07-30,Jira subscription,-3672,SaaS Tools,Jira
2024-08-01,B2B subscription invoice - GlobalGamma Ltd,106685,Revenue - B2B,GlobalGamma Ltd
2024-08-03,B2B subscription invoice - Corp Beta,174058,Revenue - B2B,Corp Beta
2024-08-04,Operational expense - CateringCo,-25337,Logistics & Ops,CateringCo
2024-08-05,B2C sales batch - Marketplace Channel,47016,Revenue - B2C,Marketplace Channel
2024-08-05,Professional services - Consulting Partner,-16624,Professional Services,Consulting Partner
2024-08-07,Google Ads campaign spend,-33449,Marketing & Ads,Google Ads
2024-08-07,B2C sales batch - Retail POS,23573,Revenue - B2C,Retail POS
2024-08-09,Refund / credit to customer,-9239,Refunds / Credits,Corp Beta
2024-08-10,Slack subscription,-5969,SaaS Tools,Slack
2024-08-13,Meta Ads campaign spend,-38166,Marketing & Ads,Meta Ads
2024-08-14,B2B subscription invoice - GlobalGamma Ltd,159276,Revenue - B2B,GlobalGamma Ltd
2024-08-14,B2C sales batch - Online Storefront,15232,Revenue - B2C,Online Storefront
2024-08-15,B2B subscription invoice - Corp Beta,115697,Revenue - B2B,Corp Beta
2024-08-15,Monthly cloud hosting bill,-43123,Cloud Hosting,GCP
2024-08-15,Notion subscription,-2416,SaaS Tools,Notion
2024-08-17,Monthly salaries & payroll,-207535,Salaries & Payroll,Payroll
2024-08-19,Meta Ads campaign spend,-12741,Marketing & Ads,Meta Ads
2024-08-20,Office rent payment,-66353,Office & Rent,Office Landlord
2024-08-23,B2C sales batch - Online Storefront,56568,Revenue - B2C,Online Storefront
2024-08-26,Notion subscription,-8734,SaaS Tools,Notion
2024-08-26,B2C sales batch - Retail POS,18329,Revenue - B2C,Retail POS
2024-08-27,Refund / credit to customer,-4647,Refunds / Credits,GlobalGamma Ltd
2024-08-28,Notion subscription,-8337,SaaS Tools,Notion
2024-08-29,Operational expense - Office Landlord,-16589,Logistics & Ops,Office Landlord
2024-08-30,Operational expense - LogisticsCo,-12757,Logistics & Ops,LogisticsCo
2024-08-31,LinkedIn Ads campaign spend,-33897,Marketing & Ads,LinkedIn Ads
2024-08-31,B2C sales batch - Retail POS,33132,Revenue - B2C,Retail POS
2024-09-02,Google Ads campaign spend,-27118,Marketing & Ads,Google Ads
2024-09-04,B2C sales batch - Retail POS,35000,Revenue - B2C,Retail POS
2024-09-06,Operational expense - Cleaning Services,-19299,Logistics & Ops,Cleaning Services
2024-09-07,Monthly cloud hosting bill,-41627,Cloud Hosting,AWS
2024-09-07,B2B subscription invoice - Corp Beta,114970,Revenue - B2B,Corp Beta
2024-09-10,Meta Ads campaign spend,-48049,Marketing & Ads,Meta Ads
2024-09-11,B2C sales batch - Retail POS,29577,Revenue - B2C,Retail POS
2024-09-12,Hardware / equipment purchase,-97154,Hardware / CAPEX,Hardware Supplier
2024-09-12,Professional services - Hardware Supplier,-75658,Professional Services,Hardware Supplier
2024-09-13,B2C sales batch - Marketplace Channel,22084,Revenue - B2C,Marketplace Channel
2024-09-13,Refund / credit to customer,-5652,Refunds / Credits,Online Storefront
2024-09-13,LinkedIn Ads campaign spend,-12507,Marketing & Ads,LinkedIn Ads
2024-09-15,B2C sales batch - Retail POS,17537,Revenue - B2C,Retail POS
2024-09-19,Notion subscription,-7835,SaaS Tools,Notion
2024-09-21,Office rent payment,-72654,Office & Rent,Office Landlord
2024-09-22,HubSpot subscription,-4376,SaaS Tools,HubSpot
2024-09-23,B2B subscription invoice - GlobalGamma Ltd,133964,Revenue - B2B,GlobalGamma Ltd
2024-09-25,Monthly salaries & payroll,-236959,Salaries & Payroll,Payroll
2024-09-27,HubSpot subscription,-3782,SaaS Tools,HubSpot
2024-09-28,Operational expense - Office Landlord,-17622,Logistics & Ops,Office Landlord
2024-09-28,Operational expense - LogisticsCo,-13346,Logistics & Ops,LogisticsCo
2024-09-28,LinkedIn Ads campaign spend,-11808,Marketing & Ads,LinkedIn Ads
2024-09-29,B2C sales batch - Online Storefront,45166,Revenue - B2C,Online Storefront
2024-09-30,Google Ads campaign spend,-49096,Marketing & Ads,Google Ads
2024-10-01,Slack subscription,-6542,SaaS Tools,Slack
2024-10-01,Monthly cloud hosting bill,-41788,Cloud Hosting,GCP
2024-10-03,Monthly salaries & payroll,-242021,Salaries & Payroll,Payroll
2024-10-06,Operational expense - Office Landlord,-14299,Logistics & Ops,Office Landlord
2024-10-07,Office rent payment,-61120,Office & Rent,Office Landlord
2024-10-07,Refund / credit to customer,-11083,Refunds / Credits,Retail POS
2024-10-08,Operational expense - Cleaning Services,-8060,Logistics & Ops,Cleaning Services
2024-10-09,Meta Ads campaign spend,-43500,Marketing & Ads,Meta Ads
2024-10-09,Hardware / equipment purchase,-145717,Hardware / CAPEX,Hardware Supplier
2024-10-11,B2B subscription invoice - GlobalGamma Ltd,166951,Revenue - B2B,GlobalGamma Ltd
2024-10-13,Influencer Agency campaign spend,-38977,Marketing & Ads,Influencer Agency
2024-10-20,B2B subscription invoice - Corp Beta,127739,Revenue - B2B,Corp Beta
2024-10-20,LinkedIn Ads campaign spend,-40473,Marketing & Ads,LinkedIn Ads
2024-10-23,B2C sales batch - Marketplace Channel,35269,Revenue - B2C,Marketplace Channel
2024-10-25,Jira subscription,-3965,SaaS Tools,Jira
2024-10-25,B2C sales batch - Retail POS,41371,Revenue - B2C,Retail POS
2024-10-25,Meta Ads campaign spend,-38173,Marketing & Ads,Meta Ads
2024-10-26,B2C sales batch - Marketplace Channel,34681,Revenue - B2C,Marketplace Channel
2024-10-27,Mailchimp subscription,-5988,SaaS Tools,Mailchimp
2024-10-27,Operational expense - LogisticsCo,-27046,Logistics & Ops,LogisticsCo
2024-10-28,B2C sales batch - Marketplace Channel,41764,Revenue - B2C,Marketplace Channel
2024-10-30,Professional services - Freelancer Dev,-16600,Professional Services,Freelancer Dev
2024-10-30,B2B subscription invoice - GlobalGamma Ltd,161678,Revenue - B2B,GlobalGamma Ltd
2024-10-30,Notion subscription,-3989,SaaS Tools,Notion
2024-10-30,Refund / credit to customer,-5143,Refunds / Credits,Enterprise Alpha
2024-10-30,B2B subscription invoice - Delta Solutions,89171,Revenue - B2B,Delta Solutions
2024-11-01,B2B subscription invoice - Enterprise Alpha,139692,Revenue - B2B,Enterprise Alpha
2024-11-02,Professional services - Consulting Partner,-60478,Professional Services,Consulting Partner
2024-11-02,Meta Ads campaign spend,-51789,Marketing & Ads,Meta Ads
2024-11-03,LinkedIn Ads campaign spend,-44163,Marketing & Ads,LinkedIn Ads
2024-11-05,B2B subscription invoice - Corp Beta,142277,Revenue - B2B,Corp Beta
2024-11-05,Office rent payment,-65679,Office & Rent,Office Landlord
2024-11-07,LinkedIn Ads campaign spend,-59268,Marketing & Ads,LinkedIn Ads
2024-11-09,Refund / credit to customer,-6082,Refunds / Credits,Delta Solutions
2024-11-10,B2C sales batch - Online Storefront,40164,Revenue - B2C,Online Storefront
2024-11-12,Meta Ads campaign spend,-58736,Marketing & Ads,Meta Ads
2024-11-12,B2C sales batch - Retail POS,41191,Revenue - B2C,Retail POS
2024-11-15,B2C sales batch - Marketplace Channel,15363,Revenue - B2C,Marketplace Channel
2024-11-17,Jira subscription,-4099,SaaS Tools,Jira
2024-11-17,Monthly salaries & payroll,-243517,Salaries & Payroll,Payroll
2024-11-17,Operational expense - CateringCo,-7538,Logistics & Ops,CateringCo
2024-11-17,Monthly cloud hosting bill,-24369,Cloud Hosting,GCP
2024-11-17,Professional services - Freelancer Dev,-30155,Professional Services,Freelancer Dev
2024-11-17,Hardware / equipment purchase,-81904,Hardware / CAPEX,Hardware Supplier
2024-11-19,B2C sales batch - Marketplace Channel,52727,Revenue - B2C,Marketplace Channel
2024-11-20,Jira subscription,-4995,SaaS Tools,Jira
2024-11-20,Refund / credit to customer,-3988,Refunds / Credits,Enterprise Alpha
2024-11-22,B2C sales batch - Online Storefront,26526,Revenue - B2C,Online Storefront
2024-11-24,Operational expense - Cleaning Services,-12683,Logistics & Ops,Cleaning Services
2024-11-24,Refund / credit to customer,-2822,Refunds / Credits,Corp Beta
2024-11-24,B2C sales batch - Online Storefront,24671,Revenue - B2C,Online Storefront
2024-11-26,Mailchimp subscription,-6518,SaaS Tools,Mailchimp
2024-11-27,Professional services - Freelancer Dev,-24068,Professional Services,Freelancer Dev
2024-11-27,B2C sales batch - Online Storefront,42862,Revenue - B2C,Online Storefront
2024-11-30,Jira subscription,-6078,SaaS Tools,Jira
2024-11-30,Influencer Agency campaign spend,-39495,Marketing & Ads,Influencer Agency
2024-12-01,B2C sales batch - Marketplace Channel,16280,Revenue - B2C,Marketplace Channel
2024-12-01,B2C sales batch - Retail POS,53278,Revenue - B2C,Retail POS
2024-12-02,B2B subscription invoice - Corp Beta,88418,Revenue - B2B,Corp Beta
2024-12-02,Refund / credit to customer,-6892,Refunds / Credits,Delta Solutions
2024-12-04,Slack subscription,-3735,SaaS Tools,Slack
2024-12-05,B2C sales batch - Online Storefront,42534,Revenue - B2C,Online Storefront
2024-12-05,Operational expense - CateringCo,-9446,Logistics & Ops,CateringCo
2024-12-06,Office rent payment,-51767,Office & Rent,Office Landlord
2024-12-06,Jira subscription,-8854,SaaS Tools,Jira
2024-12-11,Influencer Agency campaign spend,-32028,Marketing & Ads,Influencer Agency
2024-12-12,Monthly cloud hosting bill,-33730,Cloud Hosting,Azure
2024-12-17,Meta Ads campaign spend,-50780,Marketing & Ads,Meta Ads
2024-12-19,B2C sales batch - Marketplace Channel,39928,Revenue - B2C,Marketplace Channel
2024-12-20,Professional services - Freelancer Dev,-32049,Professional Services,Freelancer Dev
2024-12-21,Refund / credit to customer,-8389,Refunds / Credits,Delta Solutions
2024-12-22,B2C sales batch - Marketplace Channel,45534,Revenue - B2C,Marketplace Channel
2024-12-23,Slack subscription,-5499,SaaS Tools,Slack
2024-12-23,Influencer Agency campaign spend,-11902,Marketing & Ads,Influencer Agency
2024-12-23,B2C sales batch - Retail POS,19080,Revenue - B2C,Retail POS
2024-12-24,Influencer Agency campaign spend,-57459,Marketing & Ads,Influencer Agency
2024-12-24,Operational expense - Office Landlord,-7750,Logistics & Ops,Office Landlord
2024-12-26,Jira subscription,-8052,SaaS Tools,Jira
2024-12-27,Meta Ads campaign spend,-40630,Marketing & Ads,Meta Ads
2024-12-28,B2B subscription invoice - Delta Solutions,133424,Revenue - B2B,Delta Solutions
2024-12-30,Refund / credit to customer,-2096,Refunds / Credits,Marketplace Channel
2024-12-31,Monthly salaries & payroll,-250008,Salaries & Payroll,Payroll
